Cohort	AnimalID	Genotype	Geno	Sex	Diet	0	15	30	60	90	120	Dose	Weight	Weeks
1	2A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.9	33.3	17.7	19	12.7	13.1	2	29	9
1	3A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.7	27.7	17.4	11.2	8.7	8.7	2	23.4	9
1	5A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.3	26.2	16.4	9.2	9.6	7.6	2	26	9
1	6A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.3	27.5	12.8	10.1	9.3	6.7	2	25.6	9
2	2B3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.2	29.8	23.9	13.7	9.9	8	2	26.7	9
2	2B5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8	19.7	15.5	10.4	8.1	6.9	2	27.5	9
2	3B2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.3	25.2	15.7	11.8	10.8	8.6	2	26.7	9
2	5B4	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	6.3	18.1	19.8	12.8	10.3	8.9	2	30.8	9
3	1C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.2	27.7	18.6	16.3	14	9.1	2	27.3	9
3	1C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.9	33.3	28.4	16.7	12.6	11.6	2	25.2	9
3	"3C1 -"	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8	29.7	27.5	21.1	14	11.5	2	29	9
3	"3C2 - "	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.6	30.4	27.4	15.6	11.3	9.5	2	26.4	9
3	4C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.3	20.3	15.2	12.1	11	8.9	2	23.7	9
3	4C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.8	23.5	25.8	23.7	19.8	15.3	2	29.7	9
3	4C6	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.1	31	26.5	20.6	16.8	14	2	29.9	9
3	6C3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	6.1	26.4	13.4	10.4	9.5	7.4	2	27.7	9
3	8B1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.4	20.3	24.4	17.8	11.9	8.8	2	29.6	9
3	8B6	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.9	26.2	28.9	23.7	14.7	9.8	2	26	9
3	6C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.3	33.2	17.7	12.1	11	7.8	2	26.8	9
4	1D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.4	28.6	18.5	12.6	10.7	8.6	2	22.7	9
4	1D7	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.4	22.7	23.1	14.6	11.6	8.6	2	25.9	9
4	2D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.3	25.5	23.9	15.3	11	8.1	2	27.1	9
4	3D2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.3	23.4	14.5	12.8	8.6	6.3	2	22.7	9
4	4D8	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.6	18.5	25.5	24.8	15.2	14.8	2	39.7	9
4	5D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.3	27.7	20.2	13.5	8.9	7.4	2	22.2	9
4	8C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.1	22.6	22.7	15.9	10.7	7.9	2	31.7	9
4	8C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.9	16.7	17.1	13.7	11.5	8.4	2	30.9	9
1	3A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.3	27.8	33.3	33.3	26.6	20.3	2	48.8	21
1	5A5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.1	32.4	33.3	28.9	26.3	17.7	2	52.5	21
1	5A6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	10.3	33.3	33.3	33.3	33.2	23.8	2	47.9	21
1	6A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.1	27.7	31.1	33.3	29.2	25.6	2	49	21
2	1B1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.8	15.4	15.7	12.7	9.6	8.5	2	38.2	21
2	1B6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.6	23.1	23.6	17.8	12.5	9.4	2	41.8	21
2	1B7	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.6	27.2	18.9	12.3	8.9	7.9	2	37.7	21
2	3B4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.3	19.7	19.1	11.6	8.6	8.1	2	30.6	21
3	1C4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		21
3	1C5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		21
3	2C2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		21
3	8B5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		21
4	1D1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		21
4	1D2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.3	24.2	20	10.3	9.3	8.1	2		21
4	1D4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.5	25.8	26.4	17.3	14.7	14.8	2		21
4	1D6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.9	31.4	27.3	17.3	13.9	9.7	2		21
4	3D3	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.7	25.3	21.4	14.3	12.1	11.3	2		21
12	21B2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		21
12	18E2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		21
1	1A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.3	30.7	26.6	24.2	13.1	9.9	2	36.1	21
1	1A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.9	19.7	22.1	21.5	15.9	16.7	2	37.4	21
1	2A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.1	21.7	19.8	16.7	12.4	11.4	2	51.4	21
1	2A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.8	20.8	31.8	27.9	28.2	21.7	2	46.9	21
1	3A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.4	29.9	30.2	29.6	16.9	9.7	2	38.2	21
1	5A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.9	15.9	16.4	11.9	10.5	9.2	2	47.2	21
1	6A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.2	23.3	31.9	31.4	25.9	18.7	2	52	21
2	2B3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.4	25.8	23.6	19.5	14.1	13.1	2	49.1	21
2	2B5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.4	25.6	24.6	18.9	16.9	13.5	2	49.4	21
2	3B2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.5	22.5	15.2	11.6	11.2	12.8	2	39	21
2	5B4	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.2	15.1	12.9	11.9	10.9	8.8	2	48.8	21
3	1C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	1C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	"3C1 -"	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	"3C2 - "	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	4C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	4C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	4C6	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	6C3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	8B1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	8B6	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
3	6C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		21
4	1D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.2	18.4	17.7	14.2	12.3	9.6	2		21
4	1D7	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.1	21.1	21.7	15.3	12.2	8.3	2		21
4	2D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.6	18.5	20.5	14.8	15.4	10.3	2		21
4	3D2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.9	20.9	23.5	18.4	17	14.2	2		21
4	4D8	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.9	20.9	23.5	18.4	17	14.2	2		21
4	5D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.5	23.9	17.8	11.6	9.9	8.8	2		21
4	8C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.4	23.1	20.4	13.6	12.2	10.7	2		21
4	8C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.3	22.4	20.4	15.6	13.2	10.4	2		21
1	3A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.6	25.9	22.6	12.5	10.2	9.9	1	46.4	25
1	5A5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	12.4	18.2	14.9	11.6	12.1	9.4	1	51.6	25
1	5A6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.7	22.5	19.5	12.7	12.7	7.8	1	42.9	25
1	6A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.9	19.1	15	14.8	15.7	10.5	1	49.6	25
2	1B1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.7	14.1	8.2	7.4	8	5.8	1	33.3	25
2	1B6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.1	19.6	17.6	10.9	11.2	8.7	1	44	25
2	1B7	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.6	13.3	11.3	10	8.4	8.5	1	40	25
2	3B4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	6.6	15.9	13.2	9.8	8.3	7.7	1	31.7	25
3	1C4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							1		25
3	1C5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							1		25
3	2C2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							1		25
3	8B5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							1		25
4	1D1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							1		25
4	1D2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.5	24.7	16.3	11.6	10.2	9.6	1	43.5	25
4	1D4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.9	23.2	19.7	13.3	9.1	9.1	1	47.2	25
4	1D6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	10.9	26.2	13.1	13.6	10.4	7.3	1	41.4	25
4	3D3	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.9	18.3	15.4	10.3	9.1	6.3	1	37.8	25
12	21B2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							1		25
12	18E2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							1		25
1	1A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	6.4	17.4	13.2	7.9	7.2	6.6	1	33.2	25
1	1A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.6	17.9	15.6	12.4	10.2	7.1	1	35	25
1	2A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.6	12.3	15.1	12.4	9.8	9.3	1	50.6	25
1	2A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.2	19.1	15.6	14.2	12.8	8.3	1	47.5	25
1	3A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7	14.5	15.1	9.4	8.8	7.6	1	37.5	25
1	5A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.7	14.9	13.8	11.4	10.2	9.2	1	47.9	25
1	6A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.7	24	22.4	14.4	12.6	10.2	1	54.9	25
2	2B3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.4	18.1	14.8	11.7	10.2	9.2	1	51.4	25
2	2B5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.6	16.2	14.1	11.3	10.1	8.7	1	50.4	25
2	3B2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	6	15.2	8.1	6.7	6.6	5.4	1	38.4	25
2	5B4	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.4	14.6	11	9.1	8.8	7.3	1	51.3	25
3	1C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	1C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	"3C1 -"	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	"3C2 - "	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	4C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	4C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	4C6	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	6C3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	8B1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	8B6	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
3	6C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
4	1D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.2	21.8	18.4	12.2	9.9	10.7	1	37.1	25
4	1D7	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.8	12.3	19.1	13.4	11.4	7.9	1	46.5	25
4	2D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.7	15	11.9	10.3	8.6	9.5	1	49.3	25
4	3D2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.3	19.1	14.8	10.3	7.2	8.3	1	37	25
4	4D8	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	13.9	26.8	23.9	15.6	14.2	12.1	1	52.4	25
4	5D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.8	22.3	14.9	9.9	7.9	7.2	1	34.9	25
4	8C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							1		25
4	8C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.9	16.8	15.5	14.8	12.1	9.8	1	52.3	25
1	3A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	12.8	21.8	25.4	18.1	15.6	11.4	2	58.1	39
1	5A5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	10.7	32.6	26.3	16.8	13.7	12.2	2	61.3	39
1	5A6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	10.1	30.9	29.8	28.3	20.2	18.5	2	58.2	39
1	6A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.4	24.7	27.9	25.9	18.9	19.2	2	60.6	39
2	1B1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.3	26.4	21.5	11.8	9.3	9.4	2	47.5	39
2	1B6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.8	18.4	22	15.9	13.2	12.9	2	55.2	39
2	1B7	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.7	27.3	27.1	15	15.3	13.2	2	49.7	39
2	3B4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	7.4	18.8	21.5	15.3	12.8	13.9	2	40.6	39
3	1C4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		39
3	1C5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		39
3	2C2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		39
3	8B5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		39
4	1D1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		39
4	1D2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.8	24.6	22.6	16.5	13.71	11.8	2	51.8	39
4	1D4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	12.1	28.5	33.3	33.3	28.7	33.3	2	55.2	39
4	1D6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.2	24.5	30.7	33.3	33.3	33.3	2	50.1	39
4	3D3	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.8	24.6	26.1	17.6	15.3	12.8	2	50.2	39
12	21B2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.5	28.1	33.3	32.7	25.8	24.1	2	57.3	39
12	18E2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.9	25.1	29.5	23.3	18.7	16.9	2	62.4	39
1	1A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.5	26.6	22.7	19.5	10.6	10.6	2	46.7	39
1	1A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.3	25.1	33.3	17.2	13	11.1	2	47.7	39
1	2A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.8	24.9	23.2	19.5	16.8	14.3	2	59.7	39
1	2A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.2	26	27.1	31.1	18.8	23.1	2	55.6	39
1	3A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.4	33.2	29.1	20.3	15.1	11.9	2	49.8	39
1	5A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.4	22.4	21.7	20.5	17.9	13.2	2	59.6	39
1	6A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.6	26.2	26.4	20	15.9	12.9	2	64.8	39
2	2B3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.2	26.7	33.3	30.7	30.3	27.8	2	62.3	39
2	2B5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.3	28.7	33.1	21.5	22.2	16.8	2	61.5	39
2	3B2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.4	21.3	19.4	17.4	13.2	12	2	52	39
2	5B4	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.9	27	33.3	18.2	16.3	14.1	2	62.7	39
3	1C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	1C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	"3C1 -"	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	"3C2 - "	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	4C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	4C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	4C6	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	6C3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	8B1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	8B6	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
3	6C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
4	1D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.2	26.6	24	18.7	11.2	8.5	2	44.6	39
4	1D7	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.2	17.4	21.4	33.3	15.8	15.7	2	55.6	39
4	2D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.8	18.3	26.2	33.2	33.3	32.4	2	59.7	39
4	3D2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.6	31.2	32.8	27.7	21.3	14.1	2	53.5	39
4	4D8	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.1	26.7	28.1	16.5	13.1	11.6	2	71.7	39
4	5D3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	12.1	26.9	33.3	31.2	25.2	17.1	2	47.9	39
4	8C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		39
4	8C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11	33.3	33.3	27.4	21.3	12.7	2	66.7	39
1	3A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.1	27.8	33.1	27.9	24.4	21.2	2	72.7	54
1	5A5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.7	30	33.3	25.8	19.5	16.2	2	73.6	54
1	5A6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
1	6A4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.3	18.6	22.7	12.7	12.9	11.1	2	68.8	54
2	1B1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
2	1B6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	6.5	33.3	23.6	12.8	9.4	7.7	2	62.2	54
2	1B7	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.8	27.8	20.6	12.3	9.9	8.7	2	54.9	54
2	3B4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	6.8	18.9	20.6	14.1	19.4	10.4	2	49.5	54
3	1C4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
3	1C5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
3	2C2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
3	8B5	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
4	1D1	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
4	1D2	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	11.9	30.2	30.2	16.7	14.6	11.2	2		54
4	1D4	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	9.3	25.1	22.4	14.1	13.7	11.6	2		54
4	1D6	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	10.3	32.7	26.8	21.2	17.3	15.3	2		54
4	3D3	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD	8.4	22.9	21.8	14	13.1	12.8	2		54
12	21B2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
12	18E2(2)	InsRwt/wt:Ins1Cre+/-:nTnG+/-	WTCre	Female	HFD							2		54
1	1A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.1	19.8	20.6	12.7	11.2	11.9	2	48.9	54
1	1A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	7.6	20.1	24	13.6	12	11.1	2	54	54
1	2A3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.6	27.5	27.6	24.3	21.2	20.4	2	64.6	54
1	2A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	11.1	23	31.2	26.3	25.3	23.1	2	64.9	54
1	3A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9.7	24.7	28.7	25.1	21.8	16.5	2	56.6	54
1	5A2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8	18.3	20.8	15.8	14.7	13.8	2	76.1	54
1	6A5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	9	16.4	20	12.8	12.2	10.9	2	74.5	54
2	2B3	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	8.8	21.7	18	11.3	9.4	8.7	2	71.7	54
2	2B5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	6.9	20.2	16.8	11.7	10.9	8.3	2	71.3	54
2	3B2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	10.6	25.4	18	12.3	9.8	8.3	2	60.8	54
2	5B4	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD	6.3	30.6	23	7.7	7.1	6.3	2	63.4	54
3	1C1	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		54
3	1C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		54
3	"3C1 -"	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		54
3	"3C2 - "	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		54
3	4C2	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		54
3	4C5	InsRf/f:Ins1Cre-/-:nTnG+/-	InsR	Female	HFD							2		54
